id,camera_number,original_id,latitude,longitude,utm_x,utm_y,street,intersection,neighborhood,camera_type,status,status_id,organizational_unit,installation_date,is_active,is_public,is_santos_aovivo,created_at,updated_at
350,CAM3051,7479,-23.96119409,-46.33817154,363844.00,7349424.00,Avenida General Francisco Glycerio,Avenida Bernardino de Campos,Campo Grande,Fixa Digital HD,Em Funcionamento,1,,2024-11-04,true,true,true,2025-11-18 18:18:45.794926+00,2025-11-18 18:32:21.005989+00
351,CAM3053,3702,-23.96252009,-46.34144783,363512.00,7349274.00,Rua Ceará,Avenida General Francisco Glycerio,Pompéia,Fixa Digital HD,Em Funcionamento,1,,2024-10-29,true,true,true,2025-11-18 18:18:46.04375+00,2025-11-18 18:32:21.005989+00
352,CAM3054,3703,-23.96253789,-46.34147749,363509.00,7349272.00,Rua Ceará,Avenida General Francisco Glycerio,Pompéia,Fixa Digital HD,Em Funcionamento,1,,2024-10-29,true,true,true,2025-11-18 18:18:46.335496+00,2025-11-18 18:32:21.005989+00
353,CAM3055,3727,-23.96248414,-46.34142780,363514.00,7349278.00,Rua Galeão Carvalhal,Avenida Washington Luis,Gonzaga,Dome Digital HD,Em Funcionamento,1,,2024-11-25,true,true,true,2025-11-18 18:18:46.594358+00,2025-11-18 18:32:21.005989+00
355,CAM3056,3728,-23.96743468,-46.32877209,364807.00,7348742.00,Avenida Washington Luis,Rua Galeão Carvalhal,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2024-11-29,true,true,true,2025-11-18 18:18:47.175548+00,2025-11-18 18:32:21.005989+00
356,CAM3058,3736,-23.95421685,-46.32736898,364936.00,7350207.00,Rua Cunha Moreira,Avenida Senador Feijó,Gonzaga,Fixa Digital HD,Em Funcionamento,1,,2024-11-08,true,true,true,2025-11-18 18:18:47.503137+00,2025-11-18 18:32:21.005989+00
357,CAM3061,3570,-23.96698478,-46.31389846,366320.00,7348806.00,Avenida Senador Dantas,Avenida Doutor Pedro Lessa,Embaré,Fixa Digital HD,Em Funcionamento,1,,2024-12-10,true,true,true,2025-11-18 18:18:47.790126+00,2025-11-18 18:32:21.005989+00
358,CAM3062,3572,-23.96689321,-46.31404495,366305.00,7348816.00,Avenida Senador Dantas,Avenida Doutor Pedro Lessa,Embaré,Fixa Digital HD,Em Funcionamento,1,,2024-12-10,true,true,true,2025-11-18 18:18:48.086085+00,2025-11-18 18:32:21.005989+00
359,CAM3064,3576,-23.96631555,-46.31400961,366308.00,7348880.00,Rua Comendador Alfaia Rodrigues,Avenida Senador Dantas,Embaré,Fixa Digital HD,Em Funcionamento,1,,2024-12-04,true,true,true,2025-11-18 18:18:48.331464+00,2025-11-18 18:32:21.005989+00
360,CAM3065,3577,-23.96629909,-46.31382272,366327.00,7348882.00,Rua Comendador Alfaia Rodrigues,Avenida Senador Dantas,Embaré,Fixa Digital HD,Em Funcionamento,1,,2024-12-04,true,true,true,2025-11-18 18:18:48.575973+00,2025-11-18 18:32:21.005989+00
